"price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","sqft_above","sqft_basement","city","statezip","House_Age","monthHS","dayHS","sqft_basement_Categorized"
823000,"6","1.75",2920,5000,"2.5","0","0","4",2780,140,"Seattle","WA 98122",106,"05","05","1"
770000,"3","2",2350,5700,"1.5","0","0","4",1810,540,"Seattle","WA 98112",25,"05","05","1"
524000,"3","1.75",1560,5520,"1","0","0","4",780,780,"Seattle","WA 98199",70,"05","05","2"
541125,"5","2.75",2740,8426,"1","0","0","4",1370,1370,"Bellevue","WA 98006",13,"05","05","3"
670000,"3","2.5",1680,2000,"3","0","0","3",1680,0,"Seattle","WA 98105",16,"05","05","0"
384900,"5","2.5",3090,12750,"1","0","0","3",1750,1340,"Federal Way","WA 98023",17,"05","05","3"
406100,"3","2.25",1410,1332,"3","0","0","3",1410,0,"Seattle","WA 98103",9,"05","05","0"
1395000,"5","3.5",4010,8510,"2","0","1","5",2850,1160,"Seattle","WA 98105",43,"05","05","3"
736500,"4","2.5",3180,21904,"2","0","3","3",3180,0,"Renton","WA 98059",14,"05","05","0"
570000,"3","2.25",2010,6000,"1","0","0","3",1330,680,"Redmond","WA 98052",39,"05","05","2"
787000,"3","1.75",1330,7500,"1","0","0","3",1330,0,"Bellevue","WA 98004",10,"05","05","0"
328000,"4","2.5",2370,6500,"2","0","0","3",2370,0,"Auburn","WA 98092",8,"05","05","0"
435000,"5","2",1840,9240,"1","0","0","4",1540,300,"Seattle","WA 98133",56,"05","05","1"
499000,"4","2.5",2910,6479,"2","0","0","3",2910,0,"Snoqualmie","WA 98065",8,"05","05","0"
1090000,"4","2.5",4340,141570,"2.5","0","0","3",4340,0,"Redmond","WA 98053",22,"05","05","0"
4e+05,"2","1",840,5510,"1","0","0","3",840,0,"Seattle","WA 98136",9,"05","05","0"
220000,"4","1.5",1240,9600,"1","0","0","3",1240,0,"Federal Way","WA 98023",43,"05","05","0"
657100,"4","1",1390,4240,"1","0","0","3",1050,340,"Seattle","WA 98103",3,"05","05","1"
309950,"4","2.75",2310,5000,"2","0","0","3",2310,0,"Maple Valley","WA 98038",8,"05","05","0"
3e+05,"3","2",1050,10072,"1","0","0","3",1050,0,"Duvall","WA 98019",28,"05","05","0"
525888,"5","1.75",2550,71874,"1","0","0","5",1810,740,"Issaquah","WA 98027",54,"05","05","2"
340000,"5","1",1120,9022,"1.5","0","0","4",1120,0,"Kirkland","WA 98034",52,"05","05","0"
398750,"3","2.5",2230,4000,"2","0","0","3",2230,0,"Seattle","WA 98144",9,"05","05","0"
206000,"2","1",810,7158,"1","0","0","5",810,0,"Burien","WA 98168",70,"05","05","0"
1030000,"5","2.75",3190,16920,"1","0","3","3",1690,1500,"Bellevue","WA 98006",38,"05","05","3"
6e+05,"3","1.75",1670,39639,"1","0","0","4",1670,0,"Sammamish","WA 98075",22,"05","05","0"
379950,"4","1.75",1970,9389,"1","0","0","5",1140,830,"Shoreline","WA 98133",54,"05","05","2"
287000,"3","1",1450,6000,"1","0","0","4",1450,0,"Seattle","WA 98118",31,"05","05","0"
2280000,"7","8",13540,307752,"3","0","4","3",9410,4130,"Redmond","WA 98053",15,"05","05","9"
309950,"3","2.5",1880,7838,"2","0","0","3",1880,0,"Renton","WA 98055",20,"05","05","0"
6e+05,"3","1.75",1880,6360,"1","0","0","4",1040,840,"Seattle","WA 98115",69,"05","05","2"
449250,"4","2",1480,3844,"1.5","0","0","5",1480,0,"Seattle","WA 98133",44,"05","05","0"
329950,"2","1",1140,5250,"1.5","0","0","4",1140,0,"Seattle","WA 98133",29,"05","05","0"
245000,"3","1.75",1920,9306,"1","0","0","3",1000,920,"Auburn","WA 98001",30,"05","05","2"
549000,"4","2.5",2910,6338,"2","0","0","3",2910,0,"Renton","WA 98059",6,"05","05","0"
8e+05,"3","2.5",3240,7857,"2","0","0","3",3240,0,"Sammamish","WA 98075",20,"05","05","0"
249950,"3","2",1550,15040,"1","0","0","4",1550,0,"Renton","WA 98059",42,"05","05","0"
1425000,"2","2.5",2220,4000,"2","0","0","3",2220,0,"Seattle","WA 98112",14,"05","05","0"
585000,"2","1",1770,8640,"1.5","0","0","3",1520,250,"Seattle","WA 98117",16,"05","05","1"
615000,"4","1.75",2300,11700,"1","0","0","4",1960,340,"Redmond","WA 98052",37,"05","05","1"
618500,"3","2",1800,5000,"1","0","0","4",1080,720,"Seattle","WA 98115",32,"05","05","2"
487585,"4","1.75",2010,9211,"1","0","0","3",1470,540,"Kirkland","WA 98034",10,"05","05","1"
509900,"3","2.5",1790,2700,"2","0","0","3",1790,0,"Issaquah","WA 98027",4,"05","05","0"
631625,"4","2.5",2440,6651,"2","0","0","3",2440,0,"Seattle","WA 98117",0,"05","05","0"
555000,"3","2.5",1940,3211,"2","0","0","3",1940,0,"Issaquah","WA 98027",5,"05","05","0"
340000,"2","1.5",1160,1438,"2","0","0","3",1160,0,"Seattle","WA 98144",13,"05","05","0"
830000,"4","2.5",3400,9692,"2","0","0","3",3400,0,"Redmond","WA 98052",7,"05","05","0"
890000,"4","4.25",4420,5750,"2","0","0","3",3410,1010,"Issaquah","WA 98027",8,"05","05","2"
366750,"3","3",1571,2017,"3","0","0","3",1571,0,"Seattle","WA 98125",6,"05","05","0"
415000,"3","2.25",1620,998,"2.5","0","0","3",1540,80,"Issaquah","WA 98029",4,"05","05","1"
416286,"3","2.5",1408,989,"3","0","0","3",1408,0,"Seattle","WA 98115",9,"05","05","0"
478000,"3","2.5",3040,4535,"2","0","0","3",3040,0,"Renton","WA 98056",7,"05","05","0"
419190,"2","2.5",1590,1426,"2","0","0","3",1590,0,"Issaquah","WA 98029",0,"05","05","0"
712198,"4","2.5",2450,4247,"2","0","0","3",2450,0,"Redmond","WA 98052",91,"05","05","0"
397000,"4","2",1440,7680,"1","0","0","3",1200,240,"Kirkland","WA 98034",43,"05","06","1"
450000,"2","2",1100,3000,"1.5","0","0","3",1100,0,"Seattle","WA 98117",9,"05","06","0"
353000,"3","1",1350,7740,"1","0","0","4",860,490,"Seattle","WA 98125",26,"05","06","1"
609000,"4","2.5",2150,37981,"2","0","0","3",2150,0,"Redmond","WA 98052",29,"05","06","0"
234000,"3","1.75",1490,8366,"1","0","0","4",1010,480,"Covington","WA 98042",39,"05","06","1"
561000,"3","2",2000,7000,"2","0","0","3",2000,0,"Seattle","WA 98136",28,"05","06","0"
469000,"2","1",1030,4400,"1","0","0","3",1030,0,"Seattle","WA 98117",3,"05","06","0"
329350,"2","1",720,6687,"1","0","0","3",720,0,"Seattle","WA 98117",15,"05","06","0"
488000,"5","2",2020,5000,"1.5","0","0","4",2020,0,"Seattle","WA 98117",76,"05","06","0"
279900,"3","1.75",1580,8151,"1","0","1","4",1100,480,"Des Moines","WA 98198",52,"05","06","1"
606000,"4","2.5",2110,13850,"2","0","0","3",2110,0,"Issaquah","WA 98027",14,"05","06","0"
312000,"4","2",1300,7054,"1","0","0","3",1300,0,"Seattle","WA 98146",1,"05","06","0"
650000,"3","1.5",1630,7475,"1","0","1","3",1160,470,"Seattle","WA 98115",18,"05","06","1"
1135000,"4","2.75",3370,8103,"1","0","3","3",1970,1400,"Seattle","WA 98136",0,"05","06","3"
325000,"4","2.5",1890,6156,"1","0","0","3",980,910,"Seattle","WA 98106",34,"05","06","2"
219000,"2","1",900,5160,"1","0","0","3",900,0,"Seattle","WA 98106",6,"05","06","0"
390000,"3","1.75",1260,6500,"1","0","0","4",1260,0,"Bellevue","WA 98008",48,"05","06","0"
475000,"6","3",3470,117612,"1.5","0","0","3",3470,0,"Kenmore","WA 98028",3,"05","06","0"
736000,"4","2.5",2290,12047,"2","0","0","4",2290,0,"Bellevue","WA 98006",26,"05","06","0"
407000,"4","2.25",2810,23400,"1","0","1","3",1710,1100,"Des Moines","WA 98198",10,"05","06","3"
272000,"3","2.5",1650,13816,"2","0","0","3",1650,0,"Carnation","WA 98014",8,"05","06","0"
362000,"3","2.25",1640,14374,"1","0","0","4",1140,500,"Burien","WA 98148",51,"05","06","1"
535000,"3","2.5",1850,10109,"2","0","0","3",1850,0,"Kirkland","WA 98034",23,"05","06","0"
367500,"3","1.5",1410,9647,"1","0","0","3",1410,0,"Shoreline","WA 98177",10,"05","06","0"
379900,"4","1.75",1500,11600,"1","0","0","4",1000,500,"Kenmore","WA 98028",5,"05","06","1"
520000,"3","2.5",2460,54885,"2","0","0","4",2460,0,"Renton","WA 98059",34,"05","06","0"
175000,"3","1",1010,7034,"1","0","0","3",1010,0,"Renton","WA 98057",9,"05","06","0"
455000,"5","2.5",2240,7770,"1","0","0","3",1340,900,"Kirkland","WA 98034",36,"05","06","2"
610000,"4","3",2450,10117,"1","0","0","5",1580,870,"Bellevue","WA 98006",47,"05","06","2"
563000,"4","3",3100,15480,"2","0","0","3",2400,700,"Kenmore","WA 98028",18,"05","06","2"
612500,"4","2",2060,5000,"1","0","0","3",1030,1030,"Seattle","WA 98117",1,"05","06","2"
218000,"3","1.75",1850,7684,"1","0","0","3",1320,530,"Federal Way","WA 98023",0,"05","06","1"
404000,"4","1.75",1840,10720,"1","0","0","3",960,880,"Bellevue","WA 98008",10,"05","06","2"
860000,"4","2",3740,32417,"2","0","0","3",3740,0,"Redmond","WA 98053",14,"05","06","0"
136500,"3","1.5",1420,8580,"1","0","0","3",1420,0,"Federal Way","WA 98023",11,"05","06","0"
313950,"3","1",1510,6083,"1","0","0","4",860,650,"Seattle","WA 98115",13,"05","06","2"
575000,"3","1.75",2130,6500,"1","0","2","3",1170,960,"Seattle","WA 98199",9,"05","06","2"
1225000,"4","2.25",3490,6906,"2","0","0","4",2280,1210,"Seattle","WA 98199",86,"05","06","3"
515000,"3","2.5",1790,7167,"2","0","0","3",1790,0,"Sammamish","WA 98074",25,"05","06","0"
513000,"4","2.5",2000,5684,"2","0","0","3",2000,0,"Kenmore","WA 98028",18,"05","06","0"
685000,"4","2.5",3030,7864,"2","0","0","3",3030,0,"Sammamish","WA 98074",15,"05","06","0"
365000,"3","1.5",1310,8160,"1","0","0","3",1310,0,"Seattle","WA 98133",9,"05","06","0"
762300,"4","2.5",3880,14550,"2","0","0","3",3880,0,"Sammamish","WA 98074",14,"05","06","0"
562000,"5","2.25",3040,8111,"2","0","0","3",3040,0,"Redmond","WA 98052",30,"05","06","0"
530000,"5","2.5",2910,9636,"1","0","0","4",1690,1220,"Bellevue","WA 98008",50,"05","06","3"
525000,"3","2.5",2970,11985,"1","0","0","3",1770,1200,"Sammamish","WA 98074",19,"05","06","3"
484000,"2","1.75",1660,6000,"1","0","0","3",1160,500,"Seattle","WA 98105",15,"05","06","1"
725126,"4","2.5",3200,12369,"2","0","0","3",3200,0,"Newcastle","WA 98059",8,"05","06","0"
387000,"3","1",1230,9568,"1","0","0","5",1230,0,"Newcastle","WA 98056",52,"05","06","0"
483500,"4","2.5",2740,45732,"2","0","0","3",2740,0,"Woodinville","WA 98077",19,"05","06","0"
655500,"4","3.5",3380,8330,"2","0","0","3",3380,0,"Shoreline","WA 98177",14,"05","06","0"
345000,"3","1",1110,6250,"1","0","0","3",1110,0,"Seattle","WA 98115",13,"05","06","0"
533000,"5","2.75",1800,3780,"1.5","0","0","3",1400,400,"Seattle","WA 98103",11,"05","06","1"
385000,"3","1.75",1900,5520,"1","0","0","3",1280,620,"Seattle","WA 98118",32,"05","06","2"
675000,"2","1",930,36478,"1","0","2","3",930,0,"Bellevue","WA 98006",20,"05","06","0"
197000,"3","1.75",1690,7735,"1","0","0","4",1060,630,"Auburn","WA 98001",22,"05","06","2"
485000,"3","2",1420,4080,"1.5","0","0","3",1420,0,"Seattle","WA 98103",1,"05","06","0"
1870000,"5","4",4510,15175,"2","0","0","3",4510,0,"Mercer Island","WA 98040",12,"05","06","0"
295000,"3","2.25",1980,8000,"1","0","0","4",1560,420,"Federal Way","WA 98023",40,"05","06","1"
499000,"2","1.75",1170,2400,"1","0","0","4",740,430,"Seattle","WA 98103",111,"05","06","1"
1050000,"3","2.5",2200,1970,"2","0","0","3",1610,590,"Seattle","WA 98102",6,"05","06","2"
191000,"3","1.5",800,8850,"1","0","0","4",800,0,"Federal Way","WA 98023",55,"05","06","0"
390000,"5","3.75",2890,5000,"1","0","0","3",1310,1580,"Seattle","WA 98144",8,"05","06","4"
979000,"3","2.5",2690,4047,"3","0","0","3",2690,0,"Seattle","WA 98117",0,"05","06","0"
580000,"4","3.25",3569,8327,"2","0","0","3",3569,0,"Renton","WA 98055",91,"05","06","0"
369950,"3","2",1270,1320,"3","0","0","3",1270,0,"Seattle","WA 98103",8,"05","06","0"
1800000,"5","5",4490,10279,"2","0","0","3",3930,560,"Bellevue","WA 98004",91,"05","06","2"
776000,"4","2.5",3040,6425,"2","0","0","3",3040,0,"Redmond","WA 98052",6,"05","06","0"
519950,"3","2.25",1170,1249,"3","0","0","3",1170,0,"Seattle","WA 98107",0,"05","07","0"
495000,"3","1",990,6000,"1","0","0","3",990,0,"Seattle","WA 98105",12,"05","07","0"
510000,"4","2.5",2430,5203,"2","0","0","3",2430,0,"Shoreline","WA 98155",11,"05","07","0"
1150000,"4","4",4460,103382,"2","0","0","3",4460,0,"Redmond","WA 98053",13,"05","07","0"
253000,"3","1.75",1250,10122,"1","0","0","3",1250,0,"Black Diamond","WA 98010",20,"05","07","0"
503000,"3","2.75",1540,6760,"1","0","0","5",1210,330,"Kirkland","WA 98034",34,"05","07","1"
249000,"3","1",1110,8423,"1","0","0","3",1110,0,"Burien","WA 98166",6,"05","07","0"
310000,"3","1.75",1840,10723,"1","0","0","4",1220,620,"Renton","WA 98058",40,"05","07","2"
599999,"9","4.5",3830,6988,"2.5","0","0","3",2450,1380,"Seattle","WA 98103",11,"05","07","3"
758000,"4","2.75",2410,9549,"1","0","0","4",1780,630,"Kirkland","WA 98033",58,"05","07","2"
248500,"4","1.75",1720,10018,"1","0","0","5",1720,0,"Covington","WA 98042",54,"05","07","0"
310000,"3","1.75",2070,37904,"1","0","0","4",1420,650,"Kent","WA 98031",41,"05","07","2"
675000,"3","1.75",1680,10500,"1","0","0","4",1680,0,"Bellevue","WA 98005",55,"05","07","0"
526000,"2","2",1550,2400,"1.5","0","0","4",1550,0,"Seattle","WA 98103",43,"05","07","0"
560000,"3","3",4120,60392,"2","0","2","3",3180,940,"Carnation","WA 98014",20,"05","07","2"
415000,"4","3",1830,9548,"2","0","0","3",1830,0,"Bothell","WA 98028",23,"05","07","0"
246000,"3","1",1400,7410,"1","0","0","3",1400,0,"Burien","WA 98166",70,"05","07","0"
314500,"3","1.75",1870,12381,"1","0","0","4",1870,0,"Federal Way","WA 98003",13,"05","07","0"
3200000,"7","4.5",6210,8856,"2.5","0","2","5",4760,1450,"Seattle","WA 98109",104,"05","07","3"
420000,"2","1.5",1040,3500,"1.5","0","0","4",1040,0,"Seattle","WA 98144",110,"05","07","0"
535000,"3","1.75",2720,149410,"1.5","0","0","3",2720,0,"Carnation","WA 98014",14,"05","07","0"
350000,"3","1",1010,9360,"1","0","0","3",1010,0,"Kirkland","WA 98033",1,"05","07","0"
515000,"3","1.75",1580,9147,"1","0","1","4",1210,370,"Bellevue","WA 98008",47,"05","07","1"
749950,"4","2.75",2600,6050,"2","0","0","5",1960,640,"Seattle","WA 98116",65,"05","07","2"
230000,"3","2.5",1920,9180,"2","0","0","3",1920,0,"Renton","WA 98057",14,"05","07","0"
250000,"1","1",1100,4373,"1","0","0","2",820,280,"Burien","WA 98166",67,"05","07","1"
581000,"4","2",2510,13695,"1","0","0","4",1280,1230,"Kirkland","WA 98033",13,"05","07","3"
651000,"3","2.5",3240,108366,"2","0","0","4",3240,0,"Kent","WA 98042",23,"05","07","0"
6e+05,"3","2.5",2460,108900,"1","0","0","4",1860,600,"Issaquah","WA 98027",37,"05","07","2"
5e+05,"2","1",1010,3885,"1.5","0","0","4",1010,0,"Seattle","WA 98112",24,"05","07","0"
420000,"3","2.25",1770,8165,"2","0","0","3",1770,0,"Kirkland","WA 98034",10,"05","07","0"
428000,"2","2",1350,3900,"1","0","0","3",1350,0,"Redmond","WA 98053",11,"05","07","0"
599000,"3","1.75",1960,4788,"1","0","0","4",1090,870,"Seattle","WA 98115",94,"05","07","2"
492000,"4","2.5",3305,16164,"1.5","0","0","5",2245,1060,"Shoreline","WA 98133",58,"05","07","3"
630000,"2","2.25",2550,5663,"1","0","0","3",1720,830,"Renton","WA 98056",3,"05","07","2"
1110000,"4","1.5",2310,13300,"1","0","0","3",1890,420,"Clyde Hill","WA 98004",9,"05","07","1"
575000,"4","2",1650,5000,"1","0","0","3",1650,0,"Seattle","WA 98117",9,"05","07","0"
705000,"4","2.5",2650,4316,"1.5","0","0","3",1520,1130,"Seattle","WA 98116",1,"05","07","3"
940000,"4","2.25",1890,5940,"1","0","1","3",1470,420,"Seattle","WA 98112",6,"05","07","1"
618080,"3","2.5",2030,6500,"2","0","0","3",2030,0,"Issaquah","WA 98027",14,"05","07","0"
485000,"3","2",1610,4160,"1","0","0","4",1010,600,"Seattle","WA 98136",97,"05","07","2"
3e+05,"2","1",760,3001,"1","0","0","3",760,0,"Seattle","WA 98144",31,"05","07","0"
379500,"2","1",1640,17335,"1","0","0","3",840,800,"Redmond","WA 98053",36,"05","07","2"
339950,"3","2.25",1630,12295,"2","0","0","4",1630,0,"Renton","WA 98058",29,"05","07","0"
1500000,"6","2.5",3560,6480,"2.5","0","0","4",3560,0,"Seattle","WA 98112",69,"05","07","0"
1340000,"3","3",2960,5500,"2","0","2","3",2440,520,"Seattle","WA 98199",24,"05","07","1"
5e+05,"3","2.5",1940,37565,"1","0","0","4",1940,0,"Issaquah","WA 98027",27,"05","07","0"
239900,"3","2",1410,7566,"1","0","0","3",1410,0,"Kent","WA 98030",29,"05","07","0"
314950,"3","1",1040,16986,"1","0","0","4",1040,0,"Renton","WA 98059",46,"05","07","0"
361280,"2","1",820,6400,"1","0","0","4",820,0,"Seattle","WA 98126",70,"05","07","0"
1e+05,"2","1",910,22000,"1","0","0","3",910,0,"Algona","WA 98001",13,"05","07","0"
540000,"7","5.75",3700,7647,"2","0","1","3",3700,0,"Lake Forest Park","WA 98155",30,"05","07","0"
480500,"4","2.5",2180,11200,"1","0","0","4",2180,0,"Woodinville","WA 98072",46,"05","07","0"
280000,"3","2.5",1600,4271,"2","0","0","3",1600,0,"Auburn","WA 98001",14,"05","07","0"
440000,"3","1.75",1500,6180,"1","0","0","4",1060,440,"Seattle","WA 98118",26,"05","07","1"
530000,"3","1",1340,4284,"1","0","0","3",1080,260,"Seattle","WA 98105",8,"05","07","1"
560000,"3","2",1860,13374,"1","0","0","3",1860,0,"Issaquah","WA 98027",29,"05","07","0"
775000,"3","2",2540,7200,"1.5","0","3","4",1600,940,"Seattle","WA 98144",109,"05","07","2"
160000,"2","1",1040,13100,"1","0","0","5",1040,0,"Kent","WA 98032",102,"05","07","0"
209950,"3","1.5",1380,11130,"1","0","0","3",1380,0,"Federal Way","WA 98003",2,"05","07","0"
226500,"3","1.75",1640,10762,"1","0","0","3",1130,510,"Covington","WA 98042",14,"05","07","1"
380000,"5","1.75",3000,6000,"1","0","0","5",1500,1500,"Seattle","WA 98178",56,"05","07","3"
409500,"4","2.75",2140,13000,"1","0","0","3",1320,820,"Kenmore","WA 98028",17,"05","07","2"
690000,"3","2",1760,6428,"1","0","0","4",980,780,"Seattle","WA 98199",32,"05","07","2"
405000,"3","2.25",1660,8307,"1","0","0","4",1660,0,"Shoreline","WA 98133",13,"05","07","0"
375000,"3","2.5",1830,13042,"2","0","0","3",1830,0,"Maple Valley","WA 98038",5,"05","07","0"
794154,"4","2",2210,8556,"1","0","1","4",1210,1000,"Seattle","WA 98199",35,"05","07","2"
185000,"4","1",1490,6600,"1","0","0","3",1490,0,"Burien","WA 98168",4,"05","07","0"
245000,"3","1.5",1260,1270,"2","0","0","3",1040,220,"Seattle","WA 98133",9,"05","07","1"
1532500,"5","4.5",4270,8076,"2","0","0","3",3400,870,"Kirkland","WA 98033",7,"05","07","2"
